transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
 TXNL202100000001 ,ACC0001282,IND19007129,LN2019010000002,,27,2021-04-14,03:40:25,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,True,whitespace_in_id
TXNL202100000002,ACC0000071,IND19001466,LN2019010000009,,27,2021-04-30,03:49:03,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000003,ACC0001490,IND19011784,LN2019010000010,LDO20210000001,27,2021-04-23,04:17:58,2454.22,Debit,Cancelled,customer_stop_instruction,Loan Payment - LN2019010000010,False,,1.51,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000004,ACC0000278,IND19005139,LN2019010000015,LDO20210000002,27,2021-04-29,04:25:35,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,0.55,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000005,ACC0000597,IND19000749,LN2019010000017,LDO20210000001,27,2021-04-22,02:44:26,2018.5,Debit,Completed,,Loan Payment - LN2019010000017 - Extra Principal,False,,1.63,,Automated,Home Loan,extra_payment,False,loan_payment_generator,False,
TXNL202100000006,ACC0000731,IND19012784,LN2019010000018,LDO20210000002,27,2021-04-30,02:56:15,4833.91,Debit,Completed,,Loan Payment - LN2019010000018 - Late Fee,False,,0.14,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202100000007,ACC0000999,IND19000704,LN2019010000021,LDO20210000003,27,2021-04-30,02:42:57,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.36,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000008,ACC0000362,IND19010400,LN2019010000034,LDO20210000004,27,2021-04-20,04:17:44,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,0.99,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000009,ACC0000761,IND19003341,LN2019010000037,LDO20210000005,26,2021-04-10,03:27:43,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,1.4,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000010,ACC0000661,IND19013332,LN2019010000040,LDO20210000006,27,2021-04-25,04:49:00,3565.48,Debit,Completed,,Loan Payment - LN2019010000040,False,,0.94,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000011,ACC0000361,IND19010400,LN2019010000048,LDO20210000001,27,2021-04-30,03:57:04,990.52,Debit,Failed,insufficient_funds,Loan Payment - LN2019010000048,False,,0.15,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000012,ACC0000305,IND19009608,LN2019010000064,LDO20210000007,27,2021-04-15,03:25:21,2594.15,Debit,Completed,,Loan Payment - LN2019010000064,False,,1.44,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000013,ACC0000093,IND19006568,LN2019010000071,LDO20210000002,27,2021-04-13,04:01:17,1850.78,Debit,Completed,,Loan Payment - LN2019010000071,False,,1.17,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000014,ACC0000412,IND19013952,LN2019010000075,LDO20210000003,27,2021-04-30,04:18:07,3629.72,Debit,Completed,,Loan Payment - LN2019010000075,False,,1.45,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000015,ACC0000227,IND19010979,LN2019010000078,LDO20210000004,27,2021-04-13,04:28:56,1192.64,Debit,Completed,,Loan Payment - LN2019010000078 - Extra Principal,False,,0.42,,Automated,Vehicle Loan,extra_payment,False,loan_payment_generator,False,
TXNL202100000016,ACC0000895,IND19014589,LN2019010000089,LDO20210000008,27,2021-04-30,02:44:42,1496.91,Debit,Failed,account_blocked,Loan Payment - LN2019010000089,False,,0.66,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000017,ACC0001439,IND19009694,LN2019010000095,LDO20210000010,27,2021-04-18,02:04:52,1221.56,Debit,Completed,,Loan Payment - LN2019010000095,False,,1.82,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000018,ACC0000263,IND19010479,LN2019010000097,LDO20210000011,27,2021-04-14,03:59:12,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,0.88,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000019,ACC0000410,IND19006375,LN2019010000101,LDO20210000006,27,2021-04-22,02:43:08,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,1.11,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000020,ACC0000187,IND19005404,LN2019010000103,LDO20210000012,27,2021-04-29,03:27:54,1397.88,Debit,Completed,,Loan Payment - LN2019010000103,False,,0.87,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
 TXNL202100000021 ,ACC0000901,IND19009242,LN2019010000104,LDO20210000001,27,2021-04-28,03:19:32,2070.51,Debit,Completed,,Loan Payment - LN2019010000104,False,,1.49,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,True,whitespace_in_id
TXNL202100000022,ACC0000365,IND19005374,LN2019010000112,LDO20210000007,27,2021-04-20,03:21:29,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,1.68,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000023,ACC0000066,IND19000708,LN2019010000114,LDO20210000013,27,2021-04-24,02:33:50,3062.01,Debit,Completed,,Loan Payment - LN2019010000114,False,,0.28,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
