payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202205-00001,COLL-202205-00042,ACC0015340,IND1910000316,2022-06-10,226.74,cash_deposit,False,299.3
REC-202205-00002,COLL-202205-00041,ACC0022484,IND2101002273,2022-05-06,366.84,debit_order,True,719.65
REC-202205-00003,COLL-202205-00021,ACC0038982,IND2201016389,2022-06-06,1256.49,eft,False,4218.21
REC-202205-00004,COLL-202205-00026,ACC0034612,IND2111014721,2022-05-04,1653.88,card,False,8935.41
REC-202205-00005,COLL-202205-00009,ACC0035550,IND2111013280,2022-05-17,1233.57,cash_deposit,False,1052.35
REC-202205-00006,COLL-202205-00022,ACC0012892,COM1908000349,2022-05-14,673.71,cash_deposit,False,5278.8
REC-202205-00007,COLL-202205-00032,ACC0025651,IND2104001897,2022-06-18,194.07,cash_deposit,False,155.36
REC-202205-00008,COLL-202205-00027,ACC0025376,IND2104009108,2022-06-05,150.74,debit_order,False,531.9
REC-202205-00009,COLL-202205-00023,ACC0029194,IND2106010468,2022-05-26,326.92,eft,False,272.84
REC-202205-00010,COLL-202205-00002,ACC0024995,IND2103003629,2022-05-02,2427.76,debit_order,False,3271.93
REC-202205-00011,COLL-202205-00019,ACC0029091,IND2106010347,2022-05-30,297.91,eft,True,1395.64
REC-202205-00012,COLL-202205-00039,ACC0033080,IND2109000394,2022-05-11,294.05,card,False,833.91
REC-202205-00013,COLL-202205-00020,ACC0024120,IND2103000693,2022-05-18,278.48,cash_deposit,False,852.88
REC-202205-00014,COLL-202205-00034,ACC0028873,IND2106008672,2022-06-02,654.19,eft,False,695.55
REC-202205-00015,COLL-202205-00017,ACC0009194,IND1906001245,2022-05-28,1061.34,card,False,679.66
REC-202205-00016,COLL-202205-00012,ACC0032483,IND2109004536,2022-05-31,2712.88,cash_deposit,True,3173.71
REC-202205-00017,COLL-202205-00018,ACC0022618,IND2102000119,2022-05-12,187.26,debit_order,False,1367.84
