response_id,campaign_id,customer_id,account_id,response_date,response_type,conversion_value_zar,channel_used,notes
RESP-202511-0000001,CAMP-2025-009,COM25000326,ACC0117996,2025-11-14,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202511-0000002,CAMP-2025-009,IND25008463,ACC0117488,2025-11-11,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202511-0000003,CAMP-2025-009,COM25000254,ACC0117993,2025-11-01,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202511-0000004,CAMP-2025-011,COM25000302,ACC0117977,2025-11-16,ignored,,whatsapp,No direct action recorded after campaign exposure.
RESP-202511-0000005,CAMP-2025-011,COM25000018,ACC0117968,2025-11-22,opened,,whatsapp,Customer opened or viewed the campaign message.
RESP-202511-0000006,CAMP-2025-011,COM25000179,ACC0117974,2025-11-09,converted,3790,whatsapp,Customer accepted offer for savings_account through whatsapp.
RESP-202511-0000007,CAMP-2025-011,COM25000092,ACC0117992,2025-11-23,opened,,whatsapp,Customer opened or viewed the campaign message.
RESP-202511-0000008,CAMP-2025-011,COM25000261,ACC0117964,2025-11-14,ignored,,whatsapp,No direct action recorded after campaign exposure.
RESP-202511-0000009,CAMP-2025-011,COM25000303,,2025-11-27,opened,,whatsapp,Customer opened or viewed the campaign message.
RESP-202511-0000010,CAMP-2025-011,COM25000108,ACC0117965,2025-11-25,opened,,whatsapp,Customer opened or viewed the campaign message.
RESP-202511-0000011,CAMP-2025-012,IND25005750,ACC0117720,2025-11-30,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000012,CAMP-2025-012,IND25002834,ACC0117518,2025-11-17,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000013,CAMP-2025-012,IND25010528,,2025-11-20,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000014,CAMP-2025-012,IND25012603,,2025-11-20,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202511-0000015,CAMP-2025-012,IND25010143,ACC0117745,2025-11-27,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000016,CAMP-2025-012,IND25005159,ACC0117309,2025-11-25,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000017,CAMP-2025-012,IND25015397,ACC0117784,2025-11-23,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000018,CAMP-2025-012,IND25015801,ACC0116798,2025-11-26,ignored,,app_push,No direct action recorded after campaign exposure.
RESP-202511-0000019,CAMP-2025-012,IND25012227,ACC0117510,2025-11-26,opened,,sms,Customer opened or viewed the campaign message.
RESP-202511-0000020,CAMP-2025-012,IND25011060,ACC0117440,2025-11-18,ignored,,sms,No direct action recorded after campaign exposure.
