account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0021148,IND20003872,Absa,savings,standard,3,standard_savings
ACC0021149,IND20000159,Absa,current,standard,6,standard_current
ACC0021150,IND20002067,First National Bank,easy,basic,6,basic_easy
ACC0021152,IND20003670,Standard Bank,savings,basic,6,basic_savings
ACC0021153,IND20001667,Standard Bank,easy,basic,6,basic_easy
ACC0021155,IND20001074,First National Bank,savings,basic,6,basic_savings
ACC0021156,IND20001097,First National Bank,easy,basic,3,basic_easy
ACC0021157,IND20003154,Capitec,easy,basic,6,basic_easy
ACC0021158,IND20000897,Nedbank,easy,basic,3,basic_easy
ACC0021159,IND20001402,Standard Bank,easy,basic,3,basic_easy
ACC0021160,IND20001565,Standard Bank,savings,standard,3,standard_savings
ACC0021161,IND20000876,Standard Bank,savings,standard,3,standard_savings
ACC0021162,IND20002622,Absa,easy,basic,6,basic_easy
ACC0021163,IND20002169,Absa,gold,premium,6,premium_gold
ACC0021164,IND20003827,Capitec,premium,premium,3,premium_premium
ACC0021165,IND20001542,Nedbank,cheque,standard,3,standard_cheque
ACC0021166,IND20002560,Standard Bank,savings,standard,3,standard_savings
ACC0021167,IND20000397,Standard Bank,easy,basic,6,basic_easy
ACC0021168,IND20003156,Standard Bank,easy,basic,3,basic_easy
ACC0021169,IND20001086,Discovery Bank,savings,basic,3,basic_savings
ACC0021170,IND20003999,Absa,savings,basic,3,basic_savings
ACC0021171,IND20002257,Investec,cheque,standard,6,standard_cheque
ACC0021172,IND20002257,Standard Bank,savings,standard,3,standard_savings
ACC0021173,IND20003337,First National Bank,cheque,standard,6,standard_cheque
ACC0021174,IND20001732,Absa,easy,basic,6,basic_easy
ACC0021176,IND20002035,Capitec,savings,standard,3,standard_savings
ACC0021177,IND20000745,First National Bank,current,standard,6,standard_current
ACC0021178,IND20000745,First National Bank,current,standard,3,standard_current
ACC0021179,IND20001283,Absa,gold,premium,6,premium_gold
ACC0021180,IND20000988,Capitec,savings,basic,6,basic_savings
ACC0021181,IND20001705,Discovery Bank,easy,basic,3,basic_easy
ACC0021182,IND20002554,First National Bank,savings,standard,3,standard_savings
ACC0021183,IND20002225,Absa,savings,basic,3,basic_savings
ACC0021184,IND20002662,Standard Bank,easy,basic,3,basic_easy
ACC0021185,IND20001069,Capitec,current,standard,3,standard_current
ACC0021186,IND20001069,Standard Bank,current,standard,6,standard_current
ACC0021187,IND20000005,Absa,savings,basic,6,basic_savings
