month,account_id,customer_id,transaction_count,total_debits,total_credits,net_movement,avg_transaction_amount,failed_count,fraud_count
2020-12,ACC0021148,IND20003872,67,60222.12,1100.52,-59121.6,915.26,1,1
2020-12,ACC0021149,IND20000159,63,21444.98,1282.14,-20162.84,360.75,2,1
2020-12,ACC0021150,IND20002067,65,16527.24,0.0,-16527.24,254.27,0,0
2020-12,ACC0021152,IND20003670,73,27123.48,6479.19,-20644.29,460.31,2,0
2020-12,ACC0021153,IND20001667,64,18755.35,0.0,-18755.35,293.05,1,0
2020-12,ACC0021155,IND20001074,57,23929.96,0.0,-23929.96,419.82,0,0
2020-12,ACC0021156,IND20001097,74,9134.25,1287.31,-7846.94,140.83,1,0
2020-12,ACC0021157,IND20003154,67,30314.19,5789.46,-24524.73,538.86,0,0
2020-12,ACC0021158,IND20000897,57,16200.89,0.0,-16200.89,284.23,2,0
2020-12,ACC0021159,IND20001402,86,25092.08,3101.24,-21990.84,327.83,2,0
2020-12,ACC0021160,IND20001565,73,37006.18,1632.54,-35373.64,529.3,1,0
2020-12,ACC0021161,IND20000876,72,22324.85,1709.34,-20615.51,333.81,0,0
2020-12,ACC0021162,IND20002622,77,12605.45,0.0,-12605.45,163.71,1,0
2020-12,ACC0021163,IND20002169,72,35258.34,3437.7,-31820.64,537.45,0,0
2020-12,ACC0021164,IND20003827,50,122519.66,928.42,-121591.24,2468.96,1,0
2020-12,ACC0021165,IND20001542,66,69300.95,0.0,-69300.95,1050.01,0,0
2020-12,ACC0021166,IND20002560,85,52223.84,0.0,-52223.84,614.4,0,0
2020-12,ACC0021167,IND20000397,79,19976.75,0.0,-19976.75,252.87,2,1
2020-12,ACC0021168,IND20003156,67,33581.3,1312.88,-32268.42,520.81,1,1
2020-12,ACC0021169,IND20001086,50,15525.66,0.0,-15525.66,310.51,3,0
2020-12,ACC0021170,IND20003999,47,15191.95,2637.12,-12554.83,379.34,0,0
2020-12,ACC0021171,IND20002257,70,35337.23,0.0,-35337.23,504.82,0,0
2020-12,ACC0021173,IND20003337,75,31763.74,1044.55,-30719.19,437.44,2,0
2020-12,ACC0021174,IND20001732,57,15475.13,0.0,-15475.13,271.49,0,1
2020-12,ACC0021176,IND20002035,82,39684.78,2032.76,-37652.02,508.75,1,0
2020-12,ACC0021177,IND20000745,78,42293.56,0.0,-42293.56,542.23,1,0
2020-12,ACC0021179,IND20001283,80,47820.25,3827.99,-43992.26,645.6,2,1
2020-12,ACC0021180,IND20000988,56,8447.58,1186.8,-7260.78,172.04,0,0
2020-12,ACC0021181,IND20001705,43,21528.3,0.0,-21528.3,500.66,0,0
2020-12,ACC0021182,IND20002554,74,28842.44,359.94,-28482.5,394.63,0,1
2020-12,ACC0021183,IND20002225,63,12160.69,0.0,-12160.69,193.03,0,1
2020-12,ACC0021184,IND20002662,69,17587.68,0.0,-17587.68,254.89,0,0
2020-12,ACC0021185,IND20001069,86,39498.6,2738.5,-36760.1,491.13,0,0
2020-12,ACC0021187,IND20000005,85,39871.27,893.84,-38977.43,479.59,1,0
2020-12,ACC0021190,IND20001857,60,23406.08,648.26,-22757.82,400.91,3,0
2020-12,ACC0021191,IND20000396,64,23544.92,2428.69,-21116.23,395.39,0,1
2020-12,ACC0021192,IND20001567,61,10740.2,0.0,-10740.2,176.07,3,0
2020-12,ACC0021193,IND20002916,78,24036.11,968.85,-23067.26,320.58,0,0
2020-12,ACC0021194,IND20003049,60,16799.06,0.0,-16799.06,279.98,0,1
2020-12,ACC0021195,IND20000886,65,21110.63,1600.4,-19510.23,349.4,0,0
2020-12,ACC0021196,IND20002138,62,12116.45,542.19,-11574.26,204.17,1,1
2020-12,ACC0021197,IND20002706,57,14591.82,2660.43,-11931.39,302.67,0,0
2020-12,ACC0021198,IND20001420,70,38363.51,2873.55,-35489.96,589.1,0,1
2020-12,ACC0021199,IND20001554,81,26111.62,4090.57,-22021.05,372.87,0,0
2020-12,ACC0021201,IND20002477,68,18013.2,68.69,-17944.51,265.91,0,1
2020-12,ACC0021202,IND20003879,76,48856.76,4201.1,-44655.66,698.13,1,1
2020-12,ACC0021203,IND20001190,77,33794.91,2738.33,-31056.58,474.46,1,0
2020-12,ACC0021204,IND20003795,51,16447.47,0.0,-16447.47,322.5,1,1
2020-12,ACC0021207,IND20002472,74,18767.77,0.0,-18767.77,253.62,0,0
2020-12,ACC0021208,IND20003991,49,15763.88,0.0,-15763.88,321.71,1,0
2020-12,ACC0021209,IND20004090,56,17200.16,0.0,-17200.16,307.15,0,0
2020-12,ACC0021210,IND20001000,68,13545.03,0.0,-13545.03,199.19,0,1
