reconciliation_run_id,account_id,customer_id,ledger_transaction_id,statement_transaction_id,ledger_amount,statement_amount,ledger_date,statement_date,match_status,exception_category,root_cause_tag,source_system_lag_days,expected_settlement_date,confidence_score
RECON-202012-ACC0021148-3M,ACC0021148,IND20003872,MTX202012000000214,BST-ACC0021148-000007,-1126.65,-1205.3,2020-12-02 11:59:38,2020-12-02 11:59:38,exception,amount_mismatch,fee_or_fx_value_difference,0.0,,0.741
RECON-202012-ACC0021148-3M,ACC0021148,IND20003872,,BST-ACC0021148-000067,,-27.95,,2020-12-25 17:02:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.884
RECON-202012-ACC0021148-3M,ACC0021148,IND20003872,,BST-ACC0021148-000068,,-5.83,,2021-01-25 11:30:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.951
RECON-202012-ACC0021148-3M,ACC0021148,IND20003872,,BST-ACC0021148-000069,,-13.95,,2021-02-25 11:32:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.956
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000062,,-40.51,,2020-12-25 16:23:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.967
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000063,,3.67,,2021-01-25 11:13:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.98
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000064,,-1.27,,2021-01-25 11:13:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.913
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000065,,-96.62,,2021-02-25 13:01:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.893
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000066,,-11.28,,2021-02-25 13:01:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.917
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000067,,2.67,,2021-03-25 08:12:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.898
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000068,,-2.99,,2021-03-25 08:12:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.903
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000069,,3.1,,2021-04-25 13:04:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.971
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000070,,-92.58,,2021-04-25 13:04:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.976
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000071,,-158.01,,2021-04-25 13:04:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.934
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000072,,-111.65,,2021-05-25 15:05:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.979
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,,BST-ACC0021149-000073,,1.97,,2021-05-25 15:05:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,,,0.908
RECON-202012-ACC0021150-6M,ACC0021150,IND20002067,MTX202012000000346,BST-ACC0021150-000013,-49.82,-49.82,2020-12-07 14:38:38,2020-12-08 14:38:38,exception,timing_difference,posting_date_lag,0.0,2020-12-08,0.735
