month,channel,transaction_count,total_amount,unique_customers,failed_count,avg_authorization_time_ms,failure_rate
2021-12,atm,2120,697504.55,450,70,949.2,0.033
2021-12,contactless,2859,798042.35,340,5,935.31,0.0017
2021-12,ewallet,988,370356.57,319,2,920.84,0.002
2021-12,mobile_banking_app,16244,7146820.49,500,35,922.28,0.0022
2021-12,online_banking,1800,1043826.19,344,4,921.45,0.0022
2021-12,pos,5372,1761699.96,500,222,920.88,0.0413
2021-12,scheduled_payment,171,943653.92,147,13,596.13,0.076
2021-12,ussd,4512,1275852.25,403,10,922.93,0.0022
2022-01,mobile_banking_app,60,22041.51,52,0,832.03,0.0
2022-01,online_banking,1,487.29,1,0,1356.0,0.0
2022-01,ussd,27,12692.22,25,0,888.89,0.0
