statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,reconciliation_run_id,exception_category,gl_classification,root_cause_tag
BST-ACC0035871-000078,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-25 17:43:00,2021-12-25,Interest Income,FEE-202112-80964,2.36,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035871-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0035871-000079,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-25 17:43:00,2021-12-25,Withholding Tax,FEE-202112-38800,-43.22,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035871-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0035871-000080,ACC0035871,IND21014800,Keystone Retail Bank,2022-01-25 13:22:00,2022-01-25,Interest Income,FEE-202201-34727,2.41,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035871-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0035871-000081,ACC0035871,IND21014800,Keystone Retail Bank,2022-01-25 13:22:00,2022-01-25,Bank Charge,FEE-202201-88585,-125.87,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035871-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0035871-000082,ACC0035871,IND21014800,Keystone Retail Bank,2022-01-25 13:22:00,2022-01-25,Withholding_Tax,FEE-202201-82694,-11.81,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035871-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0035871-000083,ACC0035871,IND21014800,Keystone Retail Bank,2022-02-25 15:55:00,2022-02-25,Interest Income,FEE-202202-41365,1.22,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035871-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0035872-000070,ACC0035872,IND21001474,Keystone Retail Bank,2021-12-25 17:34:00,2021-12-25,Bank Charge,FEE-202112-47766,-82.59,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035872-6M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0035872-000071,ACC0035872,IND21001474,Keystone Retail Bank,2021-12-25 17:34:00,2021-12-25,Cash Deposit Fee,FEE-202112-87151,-100.89,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035872-6M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0035872-000072,ACC0035872,IND21001474,Keystone Retail Bank,2021-12-25 17:34:00,2021-12-25,Withholding_Tax,FEE-202112-57771,-4.15,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035872-6M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0035872-000073,ACC0035872,IND21001474,Keystone Retail Bank,2022-01-25 13:53:00,2022-01-25,Interest_Income,FEE-202201-66998,3.06,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202112-ACC0035872-6M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
