statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date
BST-ACC0117998-000001,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-01 09:52:31,2025-12-01,Airtime via mobile banking app,202512806988285,-10.0,MTX202512000014493,transactional,False,,0,
BST-ACC0117998-000002,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-01 17:31:59,2025-12-01,Alcohol via atm,202512382677375,-147.26,MTX202512000014494,transactional,False,,0,
BST-ACC0117998-000003,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-02 16:59:44,2025-12-02,Alcohol via pos,202512576796437,-160.28,MTX202512000014495,transactional,False,,0,
BST-ACC0117998-000004,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-03 09:03:59,2025-12-03,Airtime via ussd,202512679321489,-18.43,MTX202512000014496,transactional,False,,0,
BST-ACC0117998-000005,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-03 09:34:17,2025-12-03,Airtime via mobile_banking_app,202512905806940,-55.5,MTX202512000014497,transactional,False,,0,
BST-ACC0117998-000006,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-03 16:50:28,2025-12-03,Airtime via mobile banking app,202512878144764,-33.4,MTX202512000014499,transactional,False,,0,
BST-ACC0117998-000007,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-03 18:43:07,2025-12-03,Groceries via atm,202512455382552,-226.24,MTX202512000014498,transactional,False,,0,
BST-ACC0117998-000008,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-04 08:15:52,2025-12-04,Airtime via mobile_banking_app,202512858093022,-59.12,MTX202512000014500,transactional,False,,0,
BST-ACC0117998-000009,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-04 09:01:53,2025-12-04,Airtime via ussd,202512587873161,-69.33,MTX202512000014502,transactional,False,,0,
BST-ACC0117998-000010,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-04 09:07:56,2025-12-04,Airtime via mobile banking app,202512982580978,-72.7,MTX202512000014501,transactional,False,,0,
BST-ACC0117998-000011,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-04 18:19:11,2025-12-04,Alcohol via atm,202512583129179,-147.65,MTX202512000014503,transactional,False,,0,
BST-ACC0117998-000012,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-06 06:50:31,2025-12-06,Transport via ussd,202512875788549,-160.41,MTX202512000014504,transactional,False,,0,
BST-ACC0117998-000013,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-06 08:34:50,2025-12-06,Airtime via mobile banking app,202512319023057,-10.0,MTX202512000014505,transactional,False,,0,
BST-ACC0117998-000014,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-06 15:27:03,2025-12-06,Groceries via atm,202512179459844,-371.01,MTX202512000014506,transactional,False,,0,
BST-ACC0117998-000015,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-07 10:19:02,2025-12-07,Utilities via pos,202512460696954,-824.69,MTX202512000014507,transactional,False,,0,
BST-ACC0117998-000017,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-09 02:23:17,2025-12-09,Transfer via ussd,202512698559755,-649.88,MTX202512000014509,transactional,False,,0,
BST-ACC0117998-000018,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-09 12:17:30,2025-12-09,Airtime via mobile_banking_app,202512263233220,-42.95,MTX202512000014510,transactional,False,,0,
BST-ACC0117998-000019,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-09 21:25:56,2025-12-09,Groceries via mobile banking app,202512805738218,-10.0,MTX202512000014511,transactional,False,,0,
BST-ACC0117998-000020,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-10 04:08:21,2025-12-10,Transfer via ussd,202512499349552,-995.98,MTX202512000014512,transactional,False,,0,
BST-ACC0117998-000021,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-10 15:14:39,2025-12-10,Airtime via pos,202512548658528,-10.0,MTX202512000014513,transactional,False,,0,
BST-ACC0117998-000022,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-10 18:28:04,2025-12-10,Groceries via atm,202512220900786,-258.65,MTX202512000014514,transactional,False,,0,
BST-ACC0117998-000023,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-11 08:25:08,2025-12-11,Airtime via mobile banking app,202512990651687,-95.8,MTX202512000014515,transactional,False,,0,
BST-ACC0117998-000016,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-11 14:56:17,2025-12-11,Groceries via pos,202512625895192,-237.71,MTX202512000014508,transactional,True,source_system_lag,3,2025-12-11
BST-ACC0117998-000026,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-13 21:38:59,2025-12-13,Airtime via mobile_banking_app,202512650942401,-26.93,MTX202512000014518,transactional,False,,0,
BST-ACC0117998-000027,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-14 09:46:43,2025-12-14,Airtime via mobile banking app,202512510601690,-59.8,MTX202512000014519,transactional,False,,0,
BST-ACC0117998-000024,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-14 10:51:03,2025-12-14,Transport via mobile banking app,202512404051710,-88.8,MTX202512000014517,transactional,True,source_system_lag,2,2025-12-14
BST-ACC0117998-000025,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-14 12:31:43,2025-12-14,Airtime via ussd,202512512551635,-74.23,MTX202512000014516,transactional,True,source_system_lag,2,2025-12-14
BST-ACC0117998-000028,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-14 14:50:54,2025-12-14,Alcohol via ussd,202512993823928,-173.6,MTX202512000014520,transactional,False,,0,
BST-ACC0117998-000029,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-14 16:27:27,2025-12-14,Entertainment via pos,202512358289404,-78.95,MTX202512000014521,transactional,False,,0,
BST-ACC0117998-000030,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-15 08:25:45,2025-12-15,Airtime via ussd,202512958713943,-20.84,MTX202512000014522,transactional,False,,0,
BST-ACC0117998-000031,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-15 12:16:47,2025-12-15,Airtime via ussd,202512593214285,-57.89,MTX202512000014523,transactional,False,,0,
BST-ACC0117998-000032,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-15 19:14:48,2025-12-15,Airtime via pos,202512593161475,-65.63,MTX202512000014524,transactional,False,,0,
BST-ACC0117998-000033,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-16 10:50:40,2025-12-16,Transport via pos,202512486416770,-28.8,MTX202512000014525,transactional,False,,0,
BST-ACC0117998-000034,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-16 13:42:30,2025-12-16,Airtime via ussd,202512440781641,-10.0,MTX202512000014526,transactional,False,,0,
BST-ACC0117998-000035,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-16 19:27:27,2025-12-16,Entertainment via atm,202512150471584,-55.12,MTX202512000014527,transactional,False,,0,
BST-ACC0117998-000036,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-18 04:40:45,2025-12-18,Groceries via ussd,202512361033528,-314.92,MTX202512000014528,transactional,False,,0,
BST-ACC0117998-000037,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-18 08:03:40,2025-12-18,Airtime via ussd,202512426348536,-43.01,MTX202512000014529,transactional,False,,0,
BST-ACC0117998-000038,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-18 11:43:41,2025-12-18,Utilities via ussd,202512644788199,-911.54,MTX202512000014530,transactional,False,,0,
BST-ACC0117998-000039,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-18 12:16:44,2025-12-18,Utilities via pos,202512599476965,-288.88,MTX202512000014531,transactional,False,,0,
BST-ACC0117998-000040,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-18 21:48:36,2025-12-18,Clothing via mobile_banking_app,202512542172494,-71.87,MTX202512000014532,transactional,False,,0,
BST-ACC0117998-000041,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-20 12:56:31,2025-12-20,Groceries via mobile_banking_app,202512165748918,-70.2,MTX202512000014533,transactional,False,,0,
BST-ACC0117998-000042,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-20 14:18:58,2025-12-20,Alcohol via ussd,202512766760055,-72.61,MTX202512000014534,transactional,False,,0,
BST-ACC0117998-000043,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-21 04:02:00,2025-12-21,Transport via ussd,202512644929586,-121.54,MTX202512000014535,transactional,False,,0,
BST-ACC0117998-000044,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-21 08:02:03,2025-12-21,Airtime via mobile banking app,202512846669487,-42.55,MTX202512000014538,transactional,False,,0,
BST-ACC0117998-000045,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-21 08:55:51,2025-12-21,Airtime via ussd,202512940477336,-83.5,MTX202512000014536,transactional,False,,0,
BST-ACC0117998-000046,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-21 09:41:27,2025-12-21,Airtime via ussd,202512480208379,-80.18,MTX202512000014537,transactional,False,,0,
BST-ACC0117998-000047,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-22 05:48:42,2025-12-22,Alcohol via mobile_banking_app,202512722685754,-157.93,MTX202512000014539,transactional,False,,0,
BST-ACC0117998-000048,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-22 12:09:03,2025-12-22,Groceries via mobile banking app,202512301248950,-317.25,MTX202512000014540,transactional,False,,0,
BST-ACC0117998-000049,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-23 10:51:39,2025-12-23,Groceries via mobile banking app,202512343347126,-355.0,MTX202512000014541,transactional,False,,0,
BST-ACC0117998-000050,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-23 12:15:42,2025-12-23,Groceries via mobile_banking_app,202512469315033,-169.93,MTX202512000014542,transactional,False,,0,
BST-ACC0117998-000051,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-24 08:42:31,2025-12-24,Airtime via mobile banking app,202512883636063,-81.76,MTX202512000014543,transactional,False,,0,
BST-ACC0117998-000052,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-24 11:53:37,2025-12-24,Transport via mobile banking app,202512736716421,-35.9,MTX202512000014544,transactional,False,,0,
BST-ACC0117998-000053,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-24 14:02:51,2025-12-24,Entertainment via atm,202512698728053,-209.79,MTX202512000014546,transactional,False,,0,
BST-ACC0117998-000054,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-24 19:49:34,2025-12-24,Entertainment via mobile_banking_app,202512289329165,-323.48,MTX202512000014545,transactional,False,,0,
BST-ACC0117998-000055,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 09:25:50,2025-12-25,Airtime via ussd,202512352635236,-51.57,MTX202512000014547,transactional,False,,0,
BST-ACC0117998-000067,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 13:30:00,2025-12-25,Withholding_Tax,FEE-202512-79413,-14.95,,withholding_tax,True,bank_generated_non_transactional_entry,0,
BST-ACC0117998-000068,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 13:30:00,2025-12-25,Interest Income,FEE-202512-22589,1.84,,interest_income,True,bank_generated_non_transactional_entry,0,
BST-ACC0117998-000056,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 22:02:38,2025-12-25,Retail via ussd,202512704172430,-593.05,MTX202512000014548,transactional,False,,0,
BST-ACC0117998-000057,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 22:50:42,2025-12-25,Groceries via ussd,202512898103024,-168.2,MTX202512000014549,transactional,False,,0,
BST-ACC0117998-000058,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-26 20:04:36,2025-12-26,Clothing via mobile banking app,202512894541368,-238.42,MTX202512000014550,transactional,False,,0,
BST-ACC0117998-000059,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-28 19:49:35,2025-12-28,Entertainment via pos,202512899439450,-75.64,MTX202512000014551,transactional,False,,0,
BST-ACC0117998-000060,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-29 09:21:13,2025-12-29,Airtime via mobile banking app,202512910099501,-101.93,MTX202512000014552,transactional,False,,0,
BST-ACC0117998-000061,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-29 12:58:42,2025-12-29,Groceries via mobile banking app,202512375567742,-159.62,MTX202512000014553,transactional,False,,0,
BST-ACC0117998-000062,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-30 05:02:38,2025-12-30,Groceries via mobile banking app,202512226706661,-708.92,MTX202512000014554,transactional,False,,0,
BST-ACC0117998-000063,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-30 10:48:56,2025-12-30,Groceries via pos,202512691294019,-170.28,MTX202512000014556,transactional,False,,0,
BST-ACC0117998-000064,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-30 11:01:23,2025-12-30,Transport via mobile_banking_app,202512393863901,-121.22,MTX202512000014555,transactional,False,,0,
BST-ACC0117998-000065,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-30 13:43:43,2025-12-30,Airtime via pos,202512124554842,-63.24,MTX202512000014557,transactional,False,,0,
BST-ACC0117998-000066,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-31 08:16:10,2025-12-31,Airtime via ussd,202512193952561,-40.33,MTX202512000014558,transactional,False,,0,
BST-ACC0117998-000069,ACC0117998,IND25005549,Keystone Retail Bank,2026-01-25 10:45:00,2026-01-25,Bank Charge,FEE-202601-30755,-128.22,,bank_charge,True,bank_generated_non_transactional_entry,0,
BST-ACC0117998-000070,ACC0117998,IND25005549,Keystone Retail Bank,2026-02-25 07:30:00,2026-02-25,Cash Deposit Fee,FEE-202602-97223,-63.12,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,
BST-ACC0117998-000071,ACC0117998,IND25005549,Keystone Retail Bank,2026-02-25 07:30:00,2026-02-25,Withholding_Tax,FEE-202602-58953,-22.3,,withholding_tax,True,bank_generated_non_transactional_entry,0,
BST-ACC0117999-000001,ACC0117999,IND25011887,Keystone Retail Bank,2025-12-25 15:55:00,2025-12-25,Service Fee,FEE-202512-71783,-60.3,,service_fee,True,bank_generated_non_transactional_entry,0,
BST-ACC0117999-000002,ACC0117999,IND25011887,Keystone Retail Bank,2025-12-25 15:55:00,2025-12-25,Interest Income,FEE-202512-76072,5.08,,interest_income,True,bank_generated_non_transactional_entry,0,
