year,month,tx_count,fail_pct,insuf_count,timeout_count,data_error_pct,top_loan_type,yoy_tx_growth_pct
2019,2,198,6.06,5,2,4.04,Home Loan,
2019,3,450,7.78,8,10,5.56,Home Loan,
2019,4,746,5.76,18,9,4.96,Home Loan,
2019,5,1011,5.24,18,15,5.14,Home Loan,
2019,6,1240,5.89,22,16,4.92,Home Loan,
2019,7,1484,6.06,25,23,5.05,Home Loan,
2019,8,1696,5.78,35,23,5.19,Home Loan,
2019,9,1932,5.85,26,31,5.12,Home Loan,
2019,10,2168,5.81,42,21,5.07,Home Loan,
2019,11,2332,5.7,41,25,4.97,Home Loan,
2019,12,2580,6.01,49,36,5.39,Home Loan,
2020,1,2759,6.74,55,43,5.4,Home Loan,
2020,2,2792,6.12,62,36,4.41,Home Loan,1310.1
2020,3,2793,6.19,59,48,4.76,Home Loan,520.7
2020,4,2784,5.71,56,48,4.42,Home Loan,273.2
2020,5,2780,6.26,50,38,5.29,Home Loan,175.0
2020,6,2778,5.62,51,36,5.54,Home Loan,124.0
2020,7,2812,5.76,57,32,4.73,Home Loan,89.5
2020,8,2853,5.99,43,46,4.45,Home Loan,68.2
2020,9,2867,5.93,55,35,6.35,Home Loan,48.4
2020,10,2882,6.52,55,48,5.66,Home Loan,32.9
2020,11,2918,5.86,54,42,4.63,Home Loan,25.1
2020,12,2959,5.78,44,46,4.73,Home Loan,14.7
2021,1,2979,6.48,56,44,6.08,Home Loan,8.0
2021,2,3151,6.28,59,50,5.68,Home Loan,12.9
2021,3,3381,6.3,59,45,4.82,Home Loan,21.1
2021,4,3585,6.47,87,50,5.83,Home Loan,28.8
2021,5,3908,6.53,72,70,5.71,Home Loan,40.6
2021,6,4175,6.13,86,47,5.39,Home Loan,50.3
2021,7,4411,6.37,100,67,5.53,Home Loan,56.9
2021,8,4636,6.1,79,77,5.26,Home Loan,62.5
2021,9,4773,6.26,113,61,4.94,Home Loan,66.5
2021,10,4946,6.23,94,66,5.32,Home Loan,71.6
2021,11,5130,6.37,105,68,5.28,Home Loan,75.8
2021,12,5357,6.29,107,74,5.36,Home Loan,81.0
2022,1,5540,6.43,92,113,4.73,Home Loan,86.0
2022,2,5780,6.59,104,101,5.59,Home Loan,83.4
2022,3,6099,6.25,120,106,4.89,Home Loan,80.4
2022,4,6350,6.46,130,95,5.15,Home Loan,77.1
2022,5,6556,6.45,124,100,5.25,Home Loan,67.8
2022,6,6797,6.62,139,108,5.28,Home Loan,62.8
2022,7,6982,6.5,145,105,5.6,Home Loan,58.3
2022,8,7218,6.28,138,119,4.95,Home Loan,55.7
2022,9,7501,6.61,152,124,5.25,Home Loan,57.2
2022,10,7765,6.48,159,118,4.95,Home Loan,57.0
2022,11,8033,6.51,156,126,5.37,Home Loan,56.6
2022,12,8290,6.28,169,128,4.99,Home Loan,54.8
2023,1,8489,6.34,162,134,4.92,Home Loan,53.2
2023,2,8713,6.19,158,124,5.16,Home Loan,50.7
2023,3,8874,6.42,169,122,5.09,Home Loan,45.5
2023,4,9047,5.98,151,125,5.04,Home Loan,42.5
2023,5,9217,6.15,166,151,5.57,Home Loan,40.6
2023,6,9524,6.16,186,136,5.28,Home Loan,40.1
2023,7,9774,6.22,173,147,4.92,Home Loan,40.0
2023,8,10008,5.87,194,149,5.19,Home Loan,38.7
2023,9,10202,5.9,188,131,4.99,Home Loan,36.0
2023,10,10392,6.1,203,145,5.46,Home Loan,33.8
2023,11,10663,6.09,205,156,5.16,Home Loan,32.7
2023,12,10806,6.15,216,151,5.31,Home Loan,30.3
2024,1,10922,6.5,252,157,5.26,Home Loan,28.7
2024,2,11168,6.39,229,180,4.8,Home Loan,28.2
2024,3,11373,6.37,241,166,5.39,Home Loan,28.2
2024,4,11618,6.2,221,165,5.08,Home Loan,28.4
2024,5,11746,5.0,195,142,2.64,Home Loan,27.4
2024,6,11874,4.83,172,133,2.78,Home Loan,24.7
2024,7,12029,4.76,156,145,2.53,Home Loan,23.1
2024,8,12115,4.81,167,141,2.31,Home Loan,21.1
2024,9,12325,4.95,197,130,2.76,Home Loan,20.8
2024,10,12546,4.65,162,143,2.73,Home Loan,20.7
2024,11,12676,4.64,167,130,2.47,Home Loan,18.9
2024,12,12806,4.71,167,150,2.53,Home Loan,18.5
2025,1,12896,4.83,189,159,2.57,Home Loan,18.1
2025,2,13048,4.68,166,165,2.31,Home Loan,16.8
2025,3,13226,4.66,178,156,2.5,Home Loan,16.3
2025,4,13481,4.56,158,152,2.61,Home Loan,16.0
2025,5,13573,4.71,185,151,2.59,Home Loan,15.6
2025,6,13630,4.7,179,158,2.68,Home Loan,14.8
2025,7,13833,4.74,201,161,2.54,Home Loan,15.0
2025,8,13988,4.75,227,151,2.54,Home Loan,15.5
2025,9,14154,4.47,176,175,2.78,Home Loan,14.8
2025,10,14288,4.76,196,179,2.53,Home Loan,13.9
2025,11,14404,4.73,201,174,2.52,Home Loan,13.6
2025,12,14531,4.91,202,169,2.62,Home Loan,13.5
