account_id,original_customer_id,new_customer_id,resolution_status,opening_date,source_year,source_month,source_period,source_file
ACC0000000,IND19004583,IND1901004583,resolved,2019-01-28,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000001,IND19015756,IND1901015756,resolved,2019-01-21,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000002,IND19000620,IND1901000620,resolved,2019-01-27,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000003,IND19007744,IND1901007744,resolved,2019-01-23,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000005,IND19002375,IND1901002375,resolved,2019-01-13,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000006,IND19013262,IND1901013262,resolved,2019-01-14,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000007,IND19006991,IND1901006991,resolved,2019-01-05,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000008,IND19002018,IND1901002018,resolved,2019-01-27,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000009,IND19011547,IND1901011547,resolved,2019-01-24,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000010,IND19011547,IND1901011547,resolved,2019-01-25,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000011,IND19007214,IND1901007214,resolved,2019-01-27,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000012,IND19007214,IND1901007214,resolved,2019-01-30,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000013,IND19007187,IND1901007187,resolved,2019-01-18,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000014,IND19007187,IND1901007187,resolved,2019-01-14,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000015,IND19015128,IND1901015128,resolved,2019-01-30,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000016,IND19007909,IND1901007909,resolved,2019-01-04,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000018,IND19012280,IND1901012280,resolved,2019-01-31,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000019,IND19016893,IND1901016893,resolved,2019-01-16,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000020,IND19016893,IND1901016893,resolved,2019-01-23,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000021,IND19008457,IND1901008457,resolved,2019-01-25,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000022,IND19014859,IND1901014859,resolved,2019-01-18,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000023,IND19014859,IND1901014859,resolved,2019-01-21,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000024,IND19001083,IND1901001083,resolved,2019-01-19,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000025,IND19001650,IND1901001650,resolved,2019-01-29,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000026,IND19014396,IND1901014396,resolved,2019-01-15,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000027,IND19007270,IND1901007270,resolved,2019-01-18,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000028,IND19016755,IND1901016755,resolved,2019-01-28,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000029,IND19014833,IND1901014833,resolved,2019-01-13,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000030,IND19010515,IND1901010515,resolved,2019-01-16,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
ACC0000031,IND19002576,IND1901002576,resolved,2019-01-21,2019,1,2019-01,banking_data/2019/01/accounts_2019_01.parquet
