account_id,original_customer_id,new_customer_id,resolution_status,opening_date,source_year,source_month,source_period,source_file
ACC0118917,IND19000315,IND19000315,unresolved_preexisting_orphan,2019-12-31,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118918,IND19000315,IND19000315,unresolved_preexisting_orphan,2019-12-31,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118919,IND19000194,IND19000194,unresolved_preexisting_orphan,2019-12-25,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118924,IND19000075,IND19000075,unresolved_preexisting_orphan,2019-12-16,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118925,IND19000416,IND19000416,unresolved_preexisting_orphan,2019-12-26,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118931,IND19000016,IND19000016,unresolved_preexisting_orphan,2019-12-30,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118932,IND19000469,IND19000469,unresolved_preexisting_orphan,2019-12-30,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118938,IND19000063,IND19000063,unresolved_preexisting_orphan,2019-12-30,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118939,IND19000020,IND19000020,unresolved_preexisting_orphan,2019-12-18,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
ACC0118942,IND19000037,IND19000037,unresolved_preexisting_orphan,2019-12-13,2019,12,2019-12,banking_data/2019/12/accounts_2019_12.parquet
